O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
d2d4, 139
d4d5, 139
b1c3, 139
c3b5, 139
b5d4, 136
f2e3, 133
g2g3, 133
a2a4, 133
g1f3, 133
e3e4, 133
f1h3, 133
h3c8, 130
d1d3, 130
d3b3, 130
e4f5, 121
c1g5, 121
b3b7, 120
b7b5, 120
e1g1, 120
c2c4, 120
d4e6, 20
Jogadas pretas:
b8c6, 139
g8f6, 139
f6d5, 138
c6d4, 138
d5e3, 138
h8g8, 138
g8h8, 138
h8g8, 138
a8b8, 138
b8a8, 138
d7d6, 138
d8c8, 135
e8d8, 135
c8f5, 135
a8c8, 135
c8a8, 135
d8d7, 135
d7d8, 135
a8c8, 135
f7f6, 135
debug_info_ia:
nós: 355908, tempo: 42.118361711502075
nós: 404254, tempo: 48.19009208679199
nós: 468491, tempo: 55.69102740287781
nós: 302136, tempo: 35.84729266166687
nós: 417435, tempo: 48.33769702911377
nós: 192065, tempo: 21.962273597717285
nós: 215291, tempo: 24.630138635635376
nós: 233252, tempo: 26.634751796722412
nós: 310284, tempo: 35.627727031707764
nós: 423409, tempo: 48.53221011161804
nós: 445289, tempo: 51.52417325973511
nós: 267370, tempo: 30.35579824447632
nós: 1027494, tempo: 115.35944771766663
nós: 794420, tempo: 89.61830544471741
nós: 486547, tempo: 54.139352560043335
nós: 345300, tempo: 38.743361949920654
nós: 103718, tempo: 11.552134037017822
nós: 48286, tempo: 5.358665704727173
nós: 136380, tempo: 15.081685066223145
nós: 105357, tempo: 11.675790548324585
