O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
nós: 10953, tempo: 2.318077802658081
nós: 14104, tempo: 3.739835262298584
nós: 9492, tempo: 2.5526392459869385
nós: 6904, tempo: 2.7301394939422607
nós: 10075, tempo: 3.339871644973755
nós: 1443, tempo: 0.3261847496032715
nós: 2507, tempo: 0.529303789138794
nós: 4257, tempo: 0.7501065731048584
nós: 3397, tempo: 0.5644509792327881
nós: 4762, tempo: 0.9236695766448975
nós: 4216, tempo: 0.7973325252532959
nós: 3389, tempo: 0.5647330284118652
nós: 4365, tempo: 0.8182625770568848
nós: 2040, tempo: 0.6320695877075195
nós: 6387, tempo: 1.0875558853149414
nós: 4978, tempo: 0.8450074195861816
nós: 4208, tempo: 0.843951940536499
nós: 1661, tempo: 0.2999110221862793
nós: 2791, tempo: 0.5626916885375977
nós: 2115, tempo: 0.5702910423278809
nós: 1330, tempo: 0.3405930995941162
nós: 3425, tempo: 0.6088008880615234
nós: 3819, tempo: 0.8283908367156982
nós: 3688, tempo: 0.6745476722717285
nós: 3009, tempo: 0.6141834259033203
nós: 3016, tempo: 0.6899595260620117
nós: 7684, tempo: 1.3647758960723877
nós: 6319, tempo: 1.3801467418670654
nós: 5470, tempo: 0.9518740177154541
nós: 7263, tempo: 1.179748296737671
nós: 6858, tempo: 1.2770626544952393
nós: 5809, tempo: 1.0426394939422607
nós: 2651, tempo: 0.5427155494689941
nós: 3771, tempo: 0.6918661594390869
nós: 3109, tempo: 0.6477761268615723
nós: 3560, tempo: 0.6459341049194336
nós: 4058, tempo: 0.6699748039245605
nós: 1215, tempo: 0.3329010009765625
nós: 1346, tempo: 0.2079474925994873
nós: 3419, tempo: 0.6399264335632324
nós: 2984, tempo: 0.5333578586578369
nós: 4933, tempo: 0.8331422805786133
nós: 5088, tempo: 0.9580588340759277
nós: 4721, tempo: 0.8697941303253174
nós: 5170, tempo: 0.904942512512207
nós: 5260, tempo: 0.9258356094360352
nós: 5947, tempo: 1.004852056503296
nós: 6283, tempo: 1.0988833904266357
nós: 5623, tempo: 1.0319256782531738
nós: 5868, tempo: 0.9686670303344727
nós: 4875, tempo: 0.7775349617004395
nós: 4134, tempo: 0.6699142456054688
nós: 4986, tempo: 1.1900708675384521
nós: 4850, tempo: 0.6797270774841309
nós: 2746, tempo: 0.45301032066345215
nós: 3149, tempo: 0.4713938236236572
nós: 5024, tempo: 0.9665234088897705
nós: 6032, tempo: 0.9396538734436035
nós: 2720, tempo: 0.4803643226623535
nós: 5597, tempo: 1.027021884918213
nós: 5017, tempo: 0.838813304901123
nós: 5088, tempo: 0.8050155639648438
nós: 4283, tempo: 0.7522296905517578
nós: 5324, tempo: 0.9296808242797852
nós: 3706, tempo: 0.7827496528625488
nós: 2120, tempo: 0.38376545906066895
nós: 2796, tempo: 0.5288984775543213
nós: 3994, tempo: 0.810802698135376
nós: 5947, tempo: 0.9429471492767334
nós: 4296, tempo: 0.7101001739501953
nós: 5878, tempo: 1.0137732028961182
nós: 5585, tempo: 0.9431302547454834
nós: 5032, tempo: 1.0795292854309082
nós: 7599, tempo: 1.8578948974609375
nós: 4337, tempo: 1.0544075965881348
nós: 6852, tempo: 1.094684362411499
nós: 2809, tempo: 0.5901739597320557
nós: 1888, tempo: 0.37926793098449707
nós: 2634, tempo: 0.6912286281585693
nós: 2269, tempo: 0.34492063522338867
nós: 2169, tempo: 0.3696739673614502
nós: 1078, tempo: 0.19983172416687012
