O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as pretas
Jogadas brancas:
e2e3, 139
d2d4, 139
d1e2, 139
c2c4, 139
b1c3, 139
a2a3, 139
a1b1, 139
c1d2, 139
e1d1, 139
d4c5, 138
e2f3, 138
c4d5, 137
c5c6, 137
f3f4, 137
b2b4, 137
f2f3, 137
d1e2, 137
b4b5, 137
Jogadas pretas:
e7e6, 139
g8f6, 139
d7d5, 139
f8b4, 139
c7c5, 139
d8a5, 139
b4c3, 136
c3d2, 133
c8d7, 133
f6e4, 133
d7c6, 133
c6d5, 132
b8c6, 131
e8c8, 131
a5a3, 130
d5b3, 130
a3a6, 130
a6b5, 29
debug_info_ia:
nós: 18703, tempo: 2.800516128540039
nós: 63293, tempo: 10.777229309082031
nós: 80632, tempo: 13.21468710899353
nós: 59161, tempo: 9.698083877563477
nós: 23571, tempo: 4.220721483230591
nós: 83959, tempo: 14.309761047363281
nós: 269235, tempo: 48.77965021133423
nós: 27728, tempo: 4.322448968887329
nós: 12612, tempo: 1.953777551651001
nós: 74590, tempo: 12.242431879043579
nós: 140807, tempo: 22.10493016242981
nós: 161116, tempo: 24.186367750167847
nós: 193016, tempo: 28.672415733337402
nós: 174938, tempo: 27.866533756256104
nós: 107270, tempo: 15.974312543869019
nós: 98047, tempo: 13.9447660446167
nós: 3514, tempo: 0.4906880855560303
nós: 864, tempo: 0.12569761276245117
