O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as pretas
Jogadas brancas:
e2e3, 139
f2f3, 139
g1e2, 139
b1c3, 139
d2d4, 139
e1f2, 139
a2a3, 139
f2g1, 139
c3b1, 139
b1c3, 139
b2b3, 139
c3b1, 139
b3b4, 139
a3b4, 138
a1a2, 138
g2g4, 138
b1d2, 138
e3d4, 137
c1b2, 137
b2c3, 137
d1a1, 137
h2h3, 137
f3f4, 137
c3b4, 136
c2c4, 136
a2d2, 133
d2a2, 133
e2g3, 133
g1h2, 133
g3h5, 133
h5f6, 133
a2e2, 133
Jogadas pretas:
g8f6, 139
e7e6, 139
f8e7, 139
d7d5, 139
a7a6, 139
b8c6, 139
e8g8, 139
b7b5, 139
f8e8, 139
c6a5, 139
c7c5, 139
a5c6, 139
c5b4, 138
e7b4, 137
e6e5, 137
b4d6, 137
e5d4, 136
a6a5, 136
a5a4, 136
b5b4, 136
f6g4, 135
g4e3, 135
c8d7, 135
d6b4, 132
b4d2, 129
e3c4, 128
d8e7, 128
e7e3, 128
e8b8, 128
b8b3, 128
g7f6, 125
e3g3, 25
debug_info_ia:
nós: 18703, tempo: 2.785555362701416
nós: 39738, tempo: 5.8154590129852295
nós: 33726, tempo: 5.38760232925415
nós: 39809, tempo: 7.148924112319946
nós: 40649, tempo: 7.135930776596069
nós: 46365, tempo: 7.999622583389282
nós: 88099, tempo: 15.559421300888062
nós: 73351, tempo: 11.87529468536377
nós: 53493, tempo: 8.428476572036743
nós: 58636, tempo: 9.53751277923584
nós: 64734, tempo: 11.249936819076538
nós: 78355, tempo: 13.800155639648438
nós: 61567, tempo: 9.726009368896484
nós: 111690, tempo: 19.99855923652649
nós: 79928, tempo: 13.223662853240967
nós: 67177, tempo: 10.70040512084961
nós: 220080, tempo: 35.262802600860596
nós: 246737, tempo: 38.55799889564514
nós: 153962, tempo: 23.705652713775635
nós: 167404, tempo: 25.660457611083984
nós: 155096, tempo: 23.245909214019775
nós: 158498, tempo: 24.269147157669067
nós: 154515, tempo: 24.744909286499023
nós: 240505, tempo: 39.05463647842407
nós: 179969, tempo: 26.55703377723694
nós: 128420, tempo: 19.61059546470642
nós: 55013, tempo: 8.259927034378052
nós: 110636, tempo: 17.700894832611084
nós: 58165, tempo: 8.790509700775146
nós: 82550, tempo: 12.978318691253662
nós: 154604, tempo: 23.52314043045044
nós: 97798, tempo: 14.73665189743042
