O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as pretas
Jogadas brancas:
g1f3, 139
d2d4, 139
a2a3, 139
h2h4, 139
c2c4, 139
e2e3, 139
b1d2, 139
b2b3, 139
d2b1, 139
f1b5, 139
a3b4, 138
d1c2, 138
b5d3, 138
b1a3, 138
a3b5, 138
e1g1, 138
b5a3, 138
f3e5, 137
d4e5, 134
f1e1, 134
c2d1, 134
d1c2, 133
c1d2, 133
c2c4, 133
e3e4, 133
e4d5, 130
d5e6, 127
g1f1, 127
c4f4, 127
f4c4, 127
f1g1, 127
c4e4, 127
g2g3, 127
e4h1, 127
g1h1, 118
e6e7, 118
h1g1, 118
d3a6, 117
a6f1, 117
g1h1, 117
h1g1, 117
g1h1, 117
h1g1, 117
g1h1, 117
h1g1, 117
g1h1, 117
h1g1, 117
b3b4, 117
b4b5, 117
b5c6, 116
c6c7, 116
c7c8r, 116
Jogadas pretas:
b8c6, 139
d7d5, 139
e7e6, 139
f8d6, 139
g8f6, 139
d5c4, 138
b7b5, 138
c4c3, 138
b5b4, 138
c8d7, 138
d6b4, 137
f6d5, 137
f7f5, 137
d8f6, 137
e8g8, 137
a7a6, 137
e6e5, 137
c6e5, 134
f6e5, 133
e5f6, 133
c3c2, 133
f6a1, 128
a1a3, 125
d7e6, 125
b4d2, 122
d2e1, 117
a3e7, 117
e1b4, 117
b4d6, 117
a8e8, 117
f5f4, 117
e7h4, 116
h4h3, 116
h3h1, 107
f4g3, 106
f8f2, 105
e8e7, 104
e7e1, 104
c7c6, 104
d6a3, 104
g7g6, 104
h7h5, 104
e1a1, 104
f2h2, 104
h2f2, 104
f2h2, 104
a3b2, 104
b2h8, 104
a1b1, 104
b1a1, 104
g8h7, 104
h8d4, 8
debug_info_ia:
nós: 5729, tempo: 0.8254432678222656
nós: 6311, tempo: 2.3297119140625
nós: 10078, tempo: 5.229094743728638
nós: 13480, tempo: 6.712642669677734
nós: 18831, tempo: 18.22105097770691
nós: 13721, tempo: 19.96931028366089
nós: 18180, tempo: 48.77838921546936
nós: 16568, tempo: 103.4522614479065
nós: 16802, tempo: 56.12142086029053
nós: 9006, tempo: 29.754772663116455
nós: 21490, tempo: 75.9946608543396
nós: 13366, tempo: 84.46546959877014
nós: 15745, tempo: 62.356720209121704
nós: 15492, tempo: 23.620949029922485
nós: 21639, tempo: 81.45417499542236
nós: 20048, tempo: 161.6939878463745
nós: 17588, tempo: 78.36077404022217
nós: 7913, tempo: 32.0207839012146
nós: 11803, tempo: 49.17657828330994
nós: 20007, tempo: 23.78454828262329
nós: 18634, tempo: 41.12184524536133
nós: 35039, tempo: 30.47953701019287
nós: 9512, tempo: 14.304332256317139
nós: 16381, tempo: 47.296754360198975
nós: 9202, tempo: 25.99713897705078
nós: 14219, tempo: 16.77819299697876
nós: 11853, tempo: 7.8332624435424805
nós: 11417, tempo: 15.711344003677368
nós: 16273, tempo: 11.06781530380249
nós: 12667, tempo: 4.682318925857544
nós: 11113, tempo: 4.272850036621094
nós: 12144, tempo: 6.931358098983765
nós: 7125, tempo: 4.772507667541504
nós: 11916, tempo: 11.485950231552124
nós: 5950, tempo: 1.9183681011199951
nós: 3322, tempo: 1.7627625465393066
nós: 7135, tempo: 1.0865917205810547
nós: 7553, tempo: 0.6517887115478516
nós: 4398, tempo: 0.34960150718688965
nós: 4133, tempo: 0.3344883918762207
nós: 4060, tempo: 0.34653401374816895
nós: 3738, tempo: 0.3154568672180176
nós: 4140, tempo: 0.36146044731140137
nós: 2717, tempo: 0.22647547721862793
nós: 1345, tempo: 0.14394736289978027
nós: 2717, tempo: 0.22738409042358398
nós: 1277, tempo: 0.14017868041992188
nós: 1910, tempo: 0.2599184513092041
nós: 2203, tempo: 0.34707069396972656
nós: 1955, tempo: 0.21980547904968262
nós: 926, tempo: 0.14903688430786133
nós: 3781, tempo: 0.861985445022583
