O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as empate
Jogadas brancas:
nós: 4888, tempo: 0.847783088684082
nós: 2423, tempo: 0.46488022804260254
nós: 4925, tempo: 0.9566590785980225
nós: 3242, tempo: 0.5228703022003174
nós: 2754, tempo: 0.45997023582458496
nós: 4192, tempo: 0.7939631938934326
nós: 1617, tempo: 0.27284812927246094
nós: 769, tempo: 0.1724696159362793
nós: 958, tempo: 0.15091776847839355
nós: 2757, tempo: 0.4534759521484375
nós: 2983, tempo: 0.4973287582397461
nós: 6004, tempo: 0.8683712482452393
nós: 4353, tempo: 0.6455779075622559
nós: 2829, tempo: 0.4050328731536865
nós: 4856, tempo: 0.7328011989593506
nós: 4919, tempo: 0.7451858520507812
nós: 3846, tempo: 0.5987813472747803
nós: 3522, tempo: 0.4880862236022949
nós: 4871, tempo: 0.6935350894927979
nós: 4329, tempo: 0.6123414039611816
nós: 3998, tempo: 0.5621473789215088
nós: 5146, tempo: 0.7400856018066406
nós: 5139, tempo: 0.7152633666992188
nós: 6602, tempo: 1.044818639755249
nós: 3110, tempo: 0.4438626766204834
nós: 6142, tempo: 0.8772642612457275
nós: 7299, tempo: 1.0955383777618408
nós: 5059, tempo: 0.7200436592102051
nós: 5174, tempo: 0.7113957405090332
nós: 3676, tempo: 0.5329511165618896
nós: 5537, tempo: 0.8134517669677734
nós: 4816, tempo: 0.6528682708740234
nós: 6983, tempo: 1.0780532360076904
nós: 7259, tempo: 1.0264954566955566
nós: 3917, tempo: 0.6308794021606445
nós: 5390, tempo: 0.7961578369140625
nós: 5520, tempo: 0.7804217338562012
nós: 4999, tempo: 0.740018367767334
nós: 4021, tempo: 0.5671608448028564
nós: 3903, tempo: 0.5477375984191895
nós: 4788, tempo: 0.6580955982208252
nós: 4552, tempo: 0.6996510028839111
nós: 4748, tempo: 0.6440980434417725
nós: 4831, tempo: 0.7158887386322021
nós: 4563, tempo: 0.6408786773681641
nós: 6138, tempo: 0.9217424392700195
nós: 6576, tempo: 0.9529988765716553
nós: 2185, tempo: 0.34233570098876953
nós: 4917, tempo: 0.7647998332977295
nós: 3634, tempo: 0.5371661186218262
nós: 4314, tempo: 0.6013121604919434
nós: 4353, tempo: 0.5888416767120361
nós: 7502, tempo: 1.1595067977905273
nós: 5405, tempo: 0.7865822315216064
nós: 5428, tempo: 0.7568325996398926
nós: 6040, tempo: 0.8778529167175293
nós: 4631, tempo: 0.6738560199737549
nós: 7196, tempo: 1.051098108291626
nós: 5694, tempo: 0.7931497097015381
nós: 3628, tempo: 0.5259463787078857
nós: 3261, tempo: 0.4985520839691162
nós: 5860, tempo: 0.8137252330780029
nós: 6133, tempo: 0.889240026473999
nós: 5696, tempo: 0.7944016456604004
