O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as pretas
Jogadas brancas:
e2e4, 139
e4d5, 138
b1c3, 138
g1e2, 138
d2d3, 138
c3e4, 138
e4c3, 138
e2f4, 138
f4e2, 138
h2h3, 138
f2f4, 138
e2d4, 135
e1e2, 135
e2f3, 135
a2a3, 135
f3e2, 135
h3h4, 135
e2d2, 135
d2e1, 135
f1e2, 135
a1b1, 135
e1f2, 135
h1f1, 135
g2g3, 135
Jogadas pretas:
d7d5, 139
d8d5, 138
d5d6, 138
b8c6, 138
c8d7, 138
d6g6, 138
e8c8, 138
g6f5, 138
g7g6, 138
f8g7, 138
c6d4, 138
g7d4, 135
h7h5, 135
g8f6, 135
e7e5, 135
e5f4, 134
h8e8, 134
d4e3, 134
e3c1, 131
c1b2, 130
b2c3, 127
d7c6, 127
f5d5, 127
d5d4, 27
debug_info_ia:
nós: 831, tempo: 0.13367080688476562
nós: 2100, tempo: 0.3869657516479492
nós: 3524, tempo: 0.7240934371948242
nós: 2714, tempo: 0.5275895595550537
nós: 2216, tempo: 0.42189979553222656
nós: 3641, tempo: 0.7280538082122803
nós: 2819, tempo: 0.5255944728851318
nós: 4175, tempo: 0.8098635673522949
nós: 2335, tempo: 0.3869938850402832
nós: 4200, tempo: 0.8277873992919922
nós: 4769, tempo: 0.8367917537689209
nós: 7405, tempo: 1.3134896755218506
nós: 6177, tempo: 1.0551798343658447
nós: 3208, tempo: 0.5515255928039551
nós: 5689, tempo: 0.9903531074523926
nós: 7330, tempo: 1.2347331047058105
nós: 5570, tempo: 1.0222957134246826
nós: 745, tempo: 0.1376652717590332
nós: 432, tempo: 0.07383060455322266
nós: 1639, tempo: 0.2852656841278076
nós: 3854, tempo: 0.5864322185516357
nós: 421, tempo: 0.07878828048706055
nós: 7847, tempo: 1.3982629776000977
nós: 1805, tempo: 0.3121652603149414
