O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
g1f3, 139
g2g3, 139
d2d4, 139
c2c4, 139
c1g5, 139
d1c2, 139
f1g2, 139
e1g1, 139
a2a4, 139
a1a4, 138
b1d2, 138
f3e5, 138
f1c1, 138
d2e4, 138
c1b1, 138
c2b2, 137
b2b6, 137
e2e3, 137
e5c6, 136
g5e7, 127
e7g5, 127
e4d6, 127
g2c6, 124
c6a8, 119
a8c6, 119
h2h4, 119
e3e4, 119
a4a1, 119
g5c1, 119
c6f3, 119
b1b6, 119
c1a3, 119
a1c1, 119
g1f2, 116
c1c8, 13
Jogadas pretas:
g8f6, 139
h7h5, 139
d7d5, 139
d5c4, 138
c8d7, 138
b7b5, 138
c7c6, 138
d7c8, 138
b5a4, 137
a7a6, 137
e7e6, 137
d8c7, 137
c4c3, 137
c3b2, 136
h8g8, 136
c7e7, 136
g8h8, 136
h8g8, 136
f6d7, 136
d7b6, 127
b8c6, 124
f8d6, 121
b6d7, 121
d7f6, 121
e8f8, 121
g8h8, 121
h8g8, 121
f6e4, 120
e4f6, 120
g8h8, 120
d6g3, 119
f8e8, 119
g3f2, 118
f6d7, 118
debug_info_ia:
nós: 543, tempo: 0.09973263740539551
nós: 1120, tempo: 0.25531721115112305
nós: 1205, tempo: 0.2403864860534668
nós: 14426, tempo: 3.2852208614349365
nós: 11308, tempo: 2.6598916053771973
nós: 20174, tempo: 4.533883810043335
nós: 9197, tempo: 1.875986099243164
nós: 15849, tempo: 3.201444149017334
nós: 105717, tempo: 21.3130464553833
nós: 35722, tempo: 6.8975958824157715
nós: 22273, tempo: 4.03322172164917
nós: 114065, tempo: 20.6179039478302
nós: 101620, tempo: 18.5324764251709
nós: 57441, tempo: 11.032549142837524
nós: 209051, tempo: 36.95724153518677
nós: 67720, tempo: 12.503587245941162
nós: 57991, tempo: 9.832639455795288
nós: 71260, tempo: 11.942087411880493
nós: 3545, tempo: 0.5824429988861084
nós: 1616, tempo: 0.2712745666503906
nós: 1142, tempo: 0.19248557090759277
nós: 6888, tempo: 1.048198938369751
nós: 797, tempo: 0.12267184257507324
nós: 2422, tempo: 0.41887998580932617
nós: 2405, tempo: 0.466752290725708
nós: 3276, tempo: 0.6003949642181396
nós: 5925, tempo: 1.0841310024261475
nós: 5661, tempo: 1.0372273921966553
nós: 1910, tempo: 0.29720497131347656
nós: 2340, tempo: 0.39394688606262207
nós: 8491, tempo: 1.3404176235198975
nós: 525, tempo: 0.07483291625976562
nós: 5004, tempo: 0.7021234035491943
nós: 6087, tempo: 0.9165503978729248
