O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as brancas
Jogadas brancas:
g1f3, 139
f3e5, 139
e2e4, 139
d1h5, 139
h5f3, 139
e5d3, 139
e4e5, 139
e5d6, 138
f3a8, 133
b1a3, 133
a8a7, 132
a7b6, 131
a3c4, 130
d3c5, 130
c4e3, 130
f1b5, 130
b6b7, 127
b5c6, 124
c6d7, 124
e1f1, 124
b7b3, 124
e3c4, 124
c4b6, 124
d2d4, 124
f2f3, 124
c1e3, 124
f1g1, 124
a1d1, 124
d4d5, 124
d1d5, 121
b6d5, 112
g1h2, 109
e3b6, 109
d5c7, 109
b6c7, 104
b3e6, 103
e6f6, 102
h2h3, 101
h3g3, 1
Jogadas pretas:
e7e6, 139
f8e7, 139
c7c5, 139
g7g6, 139
f7f6, 139
b7b6, 139
d7d5, 139
e7d6, 138
d8d7, 138
c8b7, 138
b8c6, 138
c5c4, 138
d6b8, 138
d7d5, 138
d5d4, 138
d4e5, 138
g8e7, 138
e8f7, 138
h7h5, 138
e5c5, 135
c5e5, 135
e5d5, 135
d5f5, 135
f5g4, 135
g4f5, 135
h8d8, 135
b8d6, 135
d6b8, 135
e7d5, 134
f5d5, 129
b8h2, 128
h5h4, 128
d8d7, 125
d7c7, 122
f7g7, 122
g7h7, 122
h4h3, 122
h7h6, 122
debug_info_ia:
nós: 20268, tempo: 4.060112714767456
nós: 31985, tempo: 6.37723183631897
nós: 57712, tempo: 12.443592548370361
nós: 37570, tempo: 9.239106178283691
nós: 20875, tempo: 4.691245794296265
nós: 35667, tempo: 9.617594957351685
nós: 44894, tempo: 10.617014646530151
nós: 10620, tempo: 2.581498622894287
nós: 49960, tempo: 11.862931489944458
nós: 222899, tempo: 55.57288074493408
nós: 38904, tempo: 9.246062994003296
nós: 32106, tempo: 7.961307048797607
nós: 23958, tempo: 5.4287192821502686
nós: 148716, tempo: 38.06885528564453
nós: 190417, tempo: 48.28217577934265
nós: 104102, tempo: 26.465476512908936
nós: 17963, tempo: 4.736340522766113
nós: 18718, tempo: 4.730503797531128
nós: 147661, tempo: 38.56840419769287
nós: 97460, tempo: 25.810723066329956
nós: 246663, tempo: 64.04686450958252
nós: 170330, tempo: 43.35830307006836
nós: 71980, tempo: 16.3039333820343
nós: 158894, tempo: 39.216394901275635
nós: 73792, tempo: 18.861130237579346
nós: 121178, tempo: 30.892595767974854
nós: 162371, tempo: 40.237032413482666
nós: 86990, tempo: 20.819687366485596
nós: 85444, tempo: 20.923616647720337
nós: 11496, tempo: 2.416982650756836
nós: 10614, tempo: 2.183565378189087
nós: 2143, tempo: 0.5123908519744873
nós: 17388, tempo: 5.5045552253723145
nós: 17755, tempo: 6.1457085609436035
nós: 4748, tempo: 1.3705828189849854
nós: 6015, tempo: 1.773789405822754
nós: 1364, tempo: 0.41986823081970215
nós: 1743, tempo: 0.4577765464782715
nós: 1626, tempo: 0.44633984565734863
