O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as brancas
Jogadas brancas:
g1f3, 139
b1c3, 139
d2d4, 139
f3e5, 139
c1f4, 139
f4e5, 136
d1d2, 136
e1c1, 136
d2d3, 136
b2c3, 133
e5g3, 133
c3c4, 133
f2f3, 133
d4c5, 132
h2h4, 132
c5c6, 132
c4d5, 131
d3b3, 131
c6c7, 131
b3b6, 130
e2e4, 130
c1b1, 130
g3e5, 127
b6e6, 124
e6b6, 124
f1d3, 124
e4d5, 123
h1e1, 123
d5d6, 123
b6b2, 123
d6d7, 123
d3e4, 123
e4c6, 118
e1e5, 117
e5e7, 117
h4h5, 117
d1d5, 117
b2b8, 108
b1c1, 108
d7d8q, 108
d8a5, 108
d5d7, 108
a5f5, 108
f5g6, 108
g6h6, 107
e7h7, 7
Jogadas pretas:
g8f6, 139
d7d5, 139
a7a6, 139
b8d7, 139
d7e5, 136
e7e6, 136
f8b4, 136
f6e4, 136
b4c3, 133
f7f6, 133
e8g8, 133
c7c5, 133
e4g5, 133
b7b6, 133
g5f7, 133
d8e7, 133
f7e5, 133
e6d5, 132
c8e6, 132
a8c8, 132
e7a3, 132
g8h8, 132
f6e5, 129
c8c7, 128
a3c3, 128
f8c8, 128
h7h6, 128
a6a5, 128
c7c6, 128
c3c5, 128
c8a8, 128
a8d8, 128
c5c6, 125
c6c7, 125
c7b8, 125
a5a4, 125
a4a3, 125
d8b8, 116
b8f8, 116
f8g8, 124
h8h7, 124
g8c8, 124
h7h8, 124
c8g8, 124
g7h6, 115
debug_info_ia:
nós: 10613, tempo: 2.2731993198394775
nós: 25610, tempo: 5.345690011978149
nós: 33649, tempo: 7.151710748672485
nós: 37409, tempo: 9.251005411148071
nós: 54108, tempo: 12.583285331726074
nós: 32461, tempo: 7.640570402145386
nós: 80353, tempo: 19.87751007080078
nós: 126634, tempo: 30.912426948547363
nós: 36025, tempo: 6.890217542648315
nós: 35372, tempo: 7.223566055297852
nós: 55831, tempo: 10.680032730102539
nós: 42034, tempo: 9.35328722000122
nós: 30070, tempo: 6.246298313140869
nós: 31852, tempo: 7.692371129989624
nós: 79690, tempo: 17.90185046195984
nós: 44926, tempo: 10.542137861251831
nós: 23972, tempo: 5.694131374359131
nós: 61660, tempo: 14.499131917953491
nós: 68864, tempo: 17.150211811065674
nós: 67067, tempo: 15.954344034194946
nós: 226213, tempo: 55.83961343765259
nós: 33447, tempo: 7.5189878940582275
nós: 117423, tempo: 26.22103261947632
nós: 90761, tempo: 19.607186317443848
nós: 153879, tempo: 32.85779356956482
nós: 52770, tempo: 10.708779096603394
nós: 29761, tempo: 6.531586647033691
nós: 155065, tempo: 36.84881067276001
nós: 110883, tempo: 26.268660068511963
nós: 38956, tempo: 8.185304164886475
nós: 37312, tempo: 8.228342294692993
nós: 35037, tempo: 8.306928157806396
nós: 44644, tempo: 10.183523893356323
nós: 35630, tempo: 7.678090333938599
nós: 24779, tempo: 5.487462282180786
nós: 5835, tempo: 1.2081494331359863
nós: 6533, tempo: 1.2905211448669434
nós: 9001, tempo: 1.9770634174346924
nós: 3688, tempo: 0.6766769886016846
nós: 5176, tempo: 1.0411829948425293
nós: 5515, tempo: 1.3809752464294434
nós: 4388, tempo: 1.1606435775756836
nós: 4389, tempo: 1.0488691329956055
nós: 4729, tempo: 1.0227160453796387
nós: 1180, tempo: 0.2359309196472168
nós: 2977, tempo: 0.6112990379333496
