O jogador jogou até o fim!
A inteligencia estava jogando com as brancas
O ganhador foram as pretas
Jogadas brancas:
b1c3, 139
g1f3, 139
f3e5, 138
a1b1, 138
b1a1, 138
a1b1, 138
b1a1, 138
a1b1, 138
b1a1, 138
a1b1, 138
c3e4, 137
b1a1, 137
a1b1, 137
b1a1, 137
a1a2, 134
a2a6, 133
h1g1, 133
g1h1, 133
h1g1, 133
g1h1, 133
g2h3, 132
c2c3, 132
d1c2, 132
e1d1, 132
Jogadas pretas:
e7e5, 139
d7d6, 139
d6e5, 136
b8c6, 136
a7a6, 136
g8f6, 136
h7h5, 136
h5h4, 136
c8e6, 136
e5e4, 136
f6e4, 133
e4f6, 133
e6a2, 132
c6b4, 132
d8d5, 132
b7a6, 127
a8b8, 127
f8e7, 127
a6a5, 127
h4h3, 127
d5h1, 122
b4a6, 122
e7c5, 122
h1f1, 19
debug_info_ia:
nós: 9144, tempo: 1.0811359882354736
nós: 16035, tempo: 1.905928611755371
nós: 20182, tempo: 2.4155380725860596
nós: 19506, tempo: 2.2589845657348633
nós: 18388, tempo: 2.1402742862701416
nós: 20442, tempo: 2.379634141921997
nós: 18375, tempo: 2.121354341506958
nós: 20346, tempo: 2.376643180847168
nós: 18050, tempo: 2.0864462852478027
nós: 22381, tempo: 2.582124948501587
nós: 18152, tempo: 2.099383592605591
nós: 15539, tempo: 1.7343909740447998
nós: 16542, tempo: 1.85007905960083
nós: 12562, tempo: 1.3872885704040527
nós: 6068, tempo: 0.6831719875335693
nós: 7107, tempo: 0.7978649139404297
nós: 5147, tempo: 0.5515244007110596
nós: 5388, tempo: 0.5844674110412598
nós: 5385, tempo: 0.5754597187042236
nós: 5468, tempo: 0.5824413299560547
nós: 5447, tempo: 0.5834662914276123
nós: 3359, tempo: 0.35009145736694336
nós: 9447, tempo: 0.9734318256378174
nós: 18853, tempo: 1.9597907066345215
